LB,LF,LD,FL,FR,FD,RF,RB,RD,BL,BR,BD,DB,DL,DR,DF
,S: {L/S'},"S', U L' U'","U': L' U L, E","u R': R' E R, U","r U2: r E' r', U",u' R U': {R/E},E': {R'/S},"U' R' F: E', R2",,"R' U2 R, E'","r' U2: r E' r', U",R E' R': {U/M},E: {L/E},U' u': {R/E},R E' R': {U'/M'}
S: {L'/S'},,"S', U' L U",,"R U2 R', E","r U2: r' E r, U",E: {R/S},u' R' U': {R/E'},U' M' U: {R/E},"U: L U' L', E'","U R': U, R' E R","r' U2: r' E r, U'",R' E R: {U/M},E: {L'/E'},U u: {R'/E'},"R' F': R S' R', F'"
"U L' U', S'","U' L U, S'",,"L' u: L U' L', E","S, L F2' L'","S, L F L'","L' F2 L, S'","L B2 L', S'",U' L F': {L/S},"L u': L' U L, E'","S, L' B2' L","S, L' B' L","L B' L', S'",,"U': S, L' F' L","S', L' F L"
"u': L' U L, E'",,"L u: L U' L', E'",,R' U2: {R/E},"L', U' M' U","u: L' U' L, E","u' L: U, L E' L'","E R E, l",U2: {L'/S'},R U2: {R/E},"L', U M U'","L', U' M2 U",E2: {L/E},U2: {R/E},"L', U M2 U'"
"u R': U, R' E R","E, R U2 R'","L F2 L', S",R' U2: {R'/E},,"U2: R, U M' U'",,"E', R U2 R'","r: U2, L E' L'",R' U2: {R/E'},{R/S},"U2: R, U' M U",D: {L'/E'},{L'/E'},u2: {R'/E'},D': {L'/E'}
"r U': r E' r', U'","r U': r' E r, U'","L F L', S","U' M' U, L'","U': M', U' R U",,"M': U, R S' R'","M': U, L' E L","r: U, L E' L'","U' M' U, L","U': M', U' R' U",M U M' U2 M' U' M U2,"U' D': S, L' F' L",S: {U'/M'},R' F': {R/S},
u R U: {R/E},E: {R'/S},"S', L' F2 L","U: L' U' L, E'",,"L: E', l' U l",,S': {R'/S'},"R2: U M' U', R'","U' L: U, L E' L'","R' U2 R, E","l: E', L' U' L","r: S', L F L'",E: {L/E},U u: {R/E},"F', R S R'"
E': {R/S},u' R' U': {R'/E'},"S', L B2 L'","u' L: L E' L', U","R U2 R', E'","l': E, L U L'",S': {R/S'},,"R2: U M U', R","U': L U L', E",,"L': E, l U' l'","r': r' F r, S",E': {L'/E'},U' u': {R'/E'},"R': R' F' R, S"
"U' R' F: R2, E'",U' M' U: {R'/E},U' R' F: {R'/S'},"l, E R E'","r: L E' L', U2","r: L E' L', U","R: U' M' U, R","R': U M U', R'",,"D': U' M' U, L","r': L' E L, U2","r': L' E L, U'",D' R' F': {R/S},"U': S', R F' R'",,"U' R' F': E, R2"
,"u: L U' L', E","L U': L' U L, E",U2: {L/S'},R' U2: {R'/E'},"L, U' M' U","U' L: L E' L', U","u': L U L', E'","D': L, U' M' U",,R U2: {R'/E'},"L, U M U'","L, U' M2 U",E2: {L'/E'},U2: {R'/E'},"L, U M2 U'"
"E', R' U2 R","U R': R' E R, U","L' B2 L, S",R U2: {R'/E},{R'/S},"U': U' R' U, M'","E, R' U2 R",,"r': U2, L' E L",R U2: {R/E'},,"U2: R', U' M U",R': {U/M},{L/E},u2: {R/E},R': {U'/M'}
"r' U: r E' r', U","r' U: r' E r, U","L' B' L, S","U M U', L'","U: M, U R U'",M' U' M U2 M U M' U2,"M: U', L E' L'","M: U', l' E l","r': U', L' E L","U M U', L","U: M, U R' U'",,,S: {U/M},l U: {R'/E},"U' D: S, L' F' L"
"l U2: R' E R, U'",R' E R: {U'/M},"S', L B' L'","U' M2 U, L'",R: {U'/M},"U' D': L' F' L, S","r: L F L', S'","r': S, r' F r",D' R' F': {R'/S},"U' M2 U, L",R': {U'/M},,,S M': {U'/M'},R2: {U'/M},u M' u2 M' u
E': {L'/E},E: {L/E'},,E2: {L'/E},{L/E'},S: {U/M'},E: {L'/E},E': {L/E'},"U': R F R', S'",E2': {L/E'},{L'/E},S: {U'/M},S M': {U/M'},,"L2, S",L D: {L/S}
U' u': {R'/E},U u: {R/E'},"U': L' F' L, S",U2: {R'/E},u2: {R/E'},R' F': {R'/S},u U: {R'/E},U' u': {R/E'},,U2: {R/E'},u2: {R'/E},l U: {R/E},R2: {U/M},"S, L2",,R2: {U'/M'}
R E' R': {U/M'},"R' F2: R S R', F","S', L' F L","U M2 U', L'",R: {U/M'},,"R S R', F'","R': S, R' F' R","U' R' F': E, R2","U M2 U', L",R': {U/M'},"U' D: L' F' L, S","D': L2, S",L D: {L'/S},R2: {U/M'},